fecha,prov_residencia_persona_en_situacion_violencia,genero_persona_en_situacion_de_violencia,edad_persona_en_situacion_de_violencia,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,modalidad_de_violencia_institucional,modalidad_de_violencia_laboral,modalidad_violencia_contra_libertad_reproductiva,modalidad_de_violencia_obstetrica,modalidad_de_violencia_mediatica,modalidad_de_violencia_otras,vinculo_con_la_persona_agresora,genero_de_la_persona_agresora
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,39,,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,39,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,34,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,,Boliviana,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,73,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,,Paraguaya,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Buenos Aires,Mujer,23,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Ciudad Autónoma de Buenos Aires,Mujer,73,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Buenos Aires,Mujer,34,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Tucumán,Mujer,46,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Buenos Aires,Mujer,28,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Buenos Aires,Mujer,23,Argentina,No,Si,Si,No,No,Si,No,No,No,No,No,No,Otro familiar,
2021-01-03,Santa Fe,Mujer,,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Buenos Aires,Mujer,40,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Otro familiar,Varon
2021-01-03,Buenos Aires,Mujer,45,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Entre Ríos,Mujer,49,Argentina,No,No,Si,No,Si,Si,No,No,No,No,No,No,Otro familiar,Varon
2021-01-03,Buenos Aires,Mujer,31,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Buenos Aires,Mujer,30,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Buenos Aires,Mujer,,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Buenos Aires,Mujer,27,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Buenos Aires,Mujer,18,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Buenos Aires,Mujer,41,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Jujuy,Mujer,25,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Entre Ríos,Mujer,,,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Buenos Aires,Mujer,23,Argentina,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Buenos Aires,Mujer,16,,No,Si,Si,No,No,No,No,No,No,No,No,No,Otro,Varon
2021-01-03,Tucumán,Mujer,45,Argentina,Si,No,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Tucumán,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Jujuy,Mujer,29,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Córdoba,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Buenos Aires,Mujer,49,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Santa Fe,Mujer,,,Si,No,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Buenos Aires,Mujer,35,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-03,Buenos Aires,Mujer,24,Paraguaya,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-03,Tucumán,Mujer,,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,
2021-01-03,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
